season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,night,-1.3478790877604732,35.75,39.98,31.52,73.315,76.38,70.25,43.599999999999994,43.8,43.4,41.19,41.21,41.17,1015.36,1015.48,1015.24,11.385000000000002,11.39,11.38,5.69,5.69,5.69,10.7,10.0,2,10.35,4.22
winter,weekday,morning,2.0044944571692667,15.675,19.39,11.96,74.67500000000001,74.68,74.67,26.200000000000003,26.3,26.1,52.215,52.28,52.15,1021.27,1021.35,1021.19,11.465,11.48,11.45,6.59,6.62,6.56,37.4,37.4,2,37.4,33.82
winter,weekday,morning,2.0250850747501374,2.925,5.0,0.85,192.66,251.37,133.95,15.649999999999999,16.2,15.1,49.785,49.81,49.76,1020.4749999999999,1020.55,1020.4,12.21,12.22,12.2,6.279999999999999,6.31,6.25,37.0,37.0,2,37.0,47.66
spring,weekday,morning,7.5579460062509005,8.937999999999999,29.82,0.0,175.88600000000002,341.36,71.47,32.760000000000005,35.5,30.9,39.965999999999994,40.13,39.87,1005.552,1006.05,1004.59,21.766,21.83,21.74,15.39,15.69,14.25,31.6,28.1,5,29.880000000000003,43.79
spring,weekday,afternoon,8.587876396349063,18.755,30.21,0.0,69.205,75.07,58.48,17.175,18.8,14.9,45.8925,45.95,45.85,1005.2475,1005.48,1005.0,20.6525,20.66,20.65,13.9075,14.0,13.81,40.9,37.6,4,39.175,48.25
spring,weekday,night,2.8756049516132407,36.04,36.15,35.93,164.08499999999998,254.32,73.85,77.85,104.8,50.9,34.035,34.56,33.51,1016.435,1017.26,1015.61,19.095,20.07,18.12,11.25,13.0,9.5,6.5,4.7,2,5.6,5.75
spring,weekday,night,1.5148383774598355,26.171999999999997,41.02,1.56,190.286,336.56,68.96,17.560000000000002,20.6,12.1,38.976,39.96,37.54,1016.3799999999999,1017.35,1015.42,15.418000000000001,16.19,14.89,9.226,9.81,8.81,8.4,5.1,5,5.96,8.72
spring,weekday,morning,6.624809743922828,12.483333333333334,21.45,4.37,67.35333333333334,70.71,63.11,19.900000000000002,22.6,17.9,48.25,48.29,48.21,1014.1066666666667,1014.25,1013.96,17.7,17.72,17.68,14.479999999999999,14.5,14.44,12.1,11.2,3,11.766666666666666,18.26
spring,weekday,morning,7.168805594970044,9.49,18.48,1.07,222.9025,260.3,155.37,21.875,29.6,14.5,45.8625,45.87,45.85,1013.41,1013.54,1013.25,19.105,19.13,19.08,15.705,15.75,15.69,19.8,14.4,4,16.95,16.7
spring,weekday,night,-4.3268780995156675,34.129999999999995,36.65,31.61,156.625,242.59,70.66,19.0,22.6,15.4,22.990000000000002,24.05,21.93,1023.8000000000001,1024.65,1022.95,16.975,17.39,16.56,8.97,9.81,8.13,6.1,4.7,2,5.4,4.68
