season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,morning,6.507185189798766,6.507185189798766,6.507185189798766,45.623580000000004,45.6236,45.62356,13.787278,13.788098,13.786458,35.985,42.41,29.56,104.55000000000001,133.93,75.17,36.55,39.1,34.0,49.49,49.49,49.49,998.1700000000001,998.32,998.02,17.17,17.17,17.17,13.41,13.44,13.38,8.2,7.6,2,7.8999999999999995,5.59
spring,weekday,morning,7.554667391192771,7.554667391192771,7.554667391192771,45.623527,45.623527,45.623527,13.788048,13.788048,13.788048,38.34,38.34,38.34,76.5,76.5,76.5,39.1,39.1,39.1,50.27,50.27,50.27,999.47,999.47,999.47,18.06,18.06,18.06,13.31,13.31,13.31,7.4,7.4,1,7.4,6.88
spring,weekday,morning,7.884003940489373,7.884003940489373,7.884003940489373,45.623438,45.623438,45.623438,13.787157,13.787157,13.787157,31.85,31.85,31.85,81.41,81.41,81.41,28.4,28.4,28.4,58.8,58.8,58.8,999.4,999.4,999.4,15.94,15.94,15.94,12.44,12.44,12.44,7.2,7.2,1,7.2,10.16
spring,weekday,morning,8.15272357701339,8.15272357701339,8.15272357701339,45.623825,45.623825,45.623825,13.78773,13.78773,13.78773,32.6,32.6,32.6,79.6,79.6,79.6,259.1,259.1,259.1,61.91,61.91,61.91,998.67,998.67,998.67,15.42,15.42,15.42,12.13,12.13,12.13,5.5,5.5,1,5.5,17.25
spring,weekday,afternoon,8.296327861321986,8.296327861321986,8.296327861321986,45.623525,45.623525,45.623525,13.787642,13.787642,13.787642,35.85,35.85,35.85,79.9,79.9,79.9,28.8,28.8,28.8,63.65,63.65,63.65,997.36,997.36,997.36,15.14,15.14,15.14,12.37,12.37,12.37,7.2,7.2,1,7.2,12.06
spring,weekday,afternoon,9.615434376482611,9.615434376482611,9.615434376482611,45.623602,45.623602,45.623602,13.787938,13.787938,13.787938,33.69,33.69,33.69,67.18,67.18,67.18,47.0,47.0,47.0,65.01,65.01,65.01,997.05,997.05,997.05,16.2,16.2,16.2,13.38,13.38,13.38,12.3,12.3,1,12.3,11.74
spring,weekday,afternoon,10.803194598452418,10.803194598452418,10.803194598452418,45.623433,45.623433,45.623433,13.787073,13.787073,13.787073,29.59,29.59,29.59,84.13,84.13,84.13,36.2,36.2,36.2,61.28,61.28,61.28,998.75,998.75,998.75,18.39,18.39,18.39,16.0,16.0,16.0,14.1,14.1,1,14.1,12.75
spring,weekday,evening,10.181215188471565,10.181215188471565,10.181215188471565,45.62345,45.62345,45.62345,13.787245,13.787245,13.787245,31.95,31.95,31.95,82.13,82.13,82.13,28.0,28.0,28.0,56.31,56.31,56.31,1003.39,1003.39,1003.39,19.08,19.08,19.08,15.69,15.69,15.69,8.7,8.7,1,8.7,17.68
spring,weekday,evening,9.460937335868312,9.471491481214253,9.45038319052237,45.623504,45.623508,45.6235,13.7872255,13.787813,13.786638,22.75,26.35,19.15,97.78,119.72,75.84,30.55,32.1,29.0,56.41,56.45,56.37,1004.8299999999999,1005.06,1004.6,18.28,18.28,18.28,14.75,14.75,14.75,13.6,12.6,2,13.1,17.53
spring,weekday,morning,10.813589806252388,10.819773068288994,10.80740654421578,45.6235685,45.623605,45.623532,13.787343499999999,13.78817,13.786517,31.265,39.82,22.71,102.345,132.11,72.58,50.2,51.0,49.4,60.825,60.85,60.8,1009.63,1009.72,1009.54,18.52,18.52,18.52,14.719999999999999,14.75,14.69,6.9,6.1,2,6.5,0.88
spring,weekday,morning,10.429993952363855,10.429993952363855,10.429993952363855,45.623373,45.623373,45.623373,13.7872,13.7872,13.7872,31.24,31.24,31.24,90.26,90.26,90.26,54.4,54.4,54.4,39.13,39.13,39.13,1010.59,1010.59,1010.59,25.33,25.33,25.33,20.88,20.88,20.88,8.6,8.6,1,8.6,9.29
spring,weekday,afternoon,9.735212020359006,9.735212020359006,9.735212020359006,45.623512,45.623512,45.623512,13.786705,13.786705,13.786705,29.04,29.04,29.04,113.88,113.88,113.88,52.1,52.1,52.1,36.24,36.24,36.24,1010.69,1010.69,1010.69,25.84,25.84,25.84,20.37,20.37,20.37,6.4,6.4,1,6.4,13.65
spring,weekday,afternoon,9.158689620913187,9.169464136398423,9.14791510542795,45.623611,45.62364,45.623582,13.787192000000001,13.787892,13.786492,22.475,27.0,17.95,98.08500000000001,123.83,72.34,43.45,49.6,37.3,41.855000000000004,41.86,41.85,1011.4200000000001,1011.48,1011.36,22.79,22.8,22.78,16.56,16.56,16.56,12.3,9.1,2,10.7,5.99
spring,weekday,night,6.042379765779083,6.042379765779083,6.042379765779083,45.623465,45.623465,45.623465,13.787452,13.787452,13.787452,32.74,32.74,32.74,80.91,80.91,80.91,44.4,44.4,44.4,51.04,51.04,51.04,1011.16,1011.16,1011.16,16.18,16.18,16.18,13.56,13.56,13.56,7.6,7.6,1,7.6,11.32
spring,weekday,morning,6.4945587769648006,6.507048096657014,6.482069457272587,45.623514,45.623515,45.623513,13.7872725,13.787968,13.786577,26.4,28.52,24.28,103.245,129.35,77.14,35.35,38.9,31.8,45.805,45.83,45.78,1011.31,1011.57,1011.05,18.384999999999998,18.39,18.38,14.87,14.87,14.87,8.1,6.8,2,7.449999999999999,14.72
spring,weekday,morning,7.081042753353629,7.081042753353629,7.081042753353629,45.623408,45.623408,45.623408,13.786962,13.786962,13.786962,23.93,23.93,23.93,94.04,94.04,94.04,38.4,38.4,38.4,43.85,43.85,43.85,1011.88,1011.88,1011.88,19.73,19.73,19.73,16.37,16.37,16.37,7.7,7.7,1,7.7,10.31
spring,weekday,morning,7.683429690481316,7.683429690481316,7.683429690481316,45.623427,45.623427,45.623427,13.78679,13.78679,13.78679,17.78,17.78,17.78,97.53,97.53,97.53,35.8,35.8,35.8,42.69,42.69,42.69,1012.96,1012.96,1012.96,20.83,20.83,20.83,17.25,17.25,17.25,8.4,8.4,1,8.4,10.6
spring,weekday,afternoon,7.229674356306508,7.229674356306508,7.229674356306508,45.623483,45.623483,45.623483,13.787375,13.787375,13.787375,29.69,29.69,29.69,80.81,80.81,80.81,37.1,37.1,37.1,42.03,42.03,42.03,1012.65,1012.65,1012.65,20.58,20.58,20.58,17.44,17.44,17.44,9.3,9.3,1,9.3,14.86
spring,weekday,afternoon,6.724549250635553,6.724549250635553,6.724549250635553,45.62342,45.62342,45.62342,13.787027,13.787027,13.787027,31.08,31.08,31.08,84.65,84.65,84.65,30.4,30.4,30.4,40.55,40.55,40.55,1011.95,1011.95,1011.95,20.6,20.6,20.6,17.25,17.25,17.25,9.8,9.8,1,9.8,8.36
spring,weekday,evening,6.7967276163905765,6.7967276163905765,6.7967276163905765,45.623472,45.623472,45.623472,13.786672,13.786672,13.786672,24.06,24.06,24.06,111.16,111.16,111.16,43.1,43.1,43.1,39.59,39.59,39.59,1012.22,1012.22,1012.22,21.07,21.07,21.07,16.62,16.62,16.62,7.8,7.8,1,7.8,9.45
