season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,afternoon,2.0518698499820296,61.76,61.76,61.76,293.18,293.18,293.18,355.4,355.4,355.4,30.42,30.42,30.42,965.62,965.62,965.62,19.96,19.96,19.96,14.94,14.94,14.94,1.7,1.7,1,1.7,6.43
spring,weekday,morning,11.06393423438217,53.86,53.86,53.86,114.8,114.8,114.8,372.0,372.0,372.0,69.94,69.94,69.94,955.19,955.19,955.19,16.57,16.57,16.57,12.37,12.37,12.37,7.3,7.3,1,7.3,4.67
spring,weekday,morning,11.341165596184817,49.73,49.73,49.73,113.58,113.58,113.58,380.7,380.7,380.7,66.74,66.74,66.74,955.02,955.02,955.02,17.6,17.6,17.6,12.13,12.13,12.13,8.7,8.7,1,8.7,3.96
spring,weekday,morning,11.916387072255954,52.82,52.82,52.82,113.39,113.39,113.39,386.3,386.3,386.3,62.05,62.05,62.05,952.93,952.93,952.93,19.37,19.37,19.37,14.44,14.44,14.44,8.4,8.4,1,8.4,9.77
spring,weekday,afternoon,12.236316174698725,53.54,53.54,53.54,292.61,292.61,292.61,376.3,376.3,376.3,56.84,56.84,56.84,951.25,951.25,951.25,21.13,21.13,21.13,16.44,16.44,16.44,9.1,9.1,1,9.1,8.53
spring,weekday,night,7.719885049129977,52.58,52.58,52.58,112.58,112.58,112.58,371.2,371.2,371.2,65.03,65.03,65.03,958.26,958.26,958.26,14.2,14.2,14.2,7.87,7.87,7.87,4.6,4.6,1,4.6,6.84
spring,weekday,morning,7.4615248083913785,54.54,54.54,54.54,113.24,113.24,113.24,361.2,361.2,361.2,64.06,64.06,64.06,959.4,959.4,959.4,14.16,14.16,14.16,9.25,9.25,9.25,1.8,1.8,1,1.8,4.61
spring,weekday,morning,8.804142160453656,48.11,48.11,48.11,114.05,114.05,114.05,354.8,354.8,354.8,74.79,74.79,74.79,961.24,961.24,961.24,13.18,13.18,13.18,8.25,8.25,8.25,9.1,9.1,1,9.1,6.28
spring,weekday,morning,9.363206840847143,61.23,61.23,61.23,113.58,113.58,113.58,360.5,360.5,360.5,65.32,65.32,65.32,971.62,971.62,971.62,15.86,15.86,15.86,11.56,11.56,11.56,10.5,10.5,1,10.5,7.26
spring,weekday,morning,9.869656120355653,52.19,52.19,52.19,112.62,112.62,112.62,367.2,367.2,367.2,79.98,79.98,79.98,969.97,969.97,969.97,13.25,13.25,13.25,10.13,10.13,10.13,8.3,8.3,1,8.3,4.42
